"year","areaTotal_ha","areaZone_ha","zone"
1986,7056.49541371,6617.34643955,"G8"
1986,17168.7354878,15973.8809379945,"G8"
1986,6347.32881903,6296.30265863,"G7"
1986,2617.05144037,2365.26797811232,"G7"
1986,353.036718514,353.036718514,"G8"
1986,2285.84360786,2285.84360786,"G8"
1986,22736.868623,22736.8686241702,"G3"
1986,7716.65882873,7716.65882873,"G8"
1986,17508.4022013,17346.7956376094,"G5"
1986,34435.9750925,18585.9301381869,"G7"
1986,2309.86476358,2309.86476358232,"G7"
1986,56449.5815628,29095.3668172482,"G4"
1987,152.342020567,152.3420205669,"G5"
1987,72.9142231922,72.9142231921,"G8"
1987,142.912709466,142.9127094663,"G4"
1987,2434.23928381,2418.222159559,"G4"
1987,215.28332414,215.2833241394,"G3"
1987,161.092456329,161.092456329,"G3"
1987,9253.76759291,9253.76760027175,"G5"
1987,721.964860552,721.964860553,"G5"
1987,272.400924241,272.4009242412,"G5"
1987,1330.59589564,223.111703046,"G5"
1987,4561.9924053,4561.9924053,"G5"
1987,2467.06940334,2467.06940334,"G5"
1987,2786.57229401,2623.049566076,"G3"
1988,910.798786951,903.5005603604,"G8"
1988,140.955137126,114.203990439,"G7"
1988,85.1531481144,85.1531481145,"G7"
1988,241.023629066,241.02362906527,"G5"
1988,100.848983955,100.848983955,"G8"
1988,833.80123435,833.801234351,"G2"
1988,558.51036993,539.578484854,"G6"
1988,1011.62161979,1011.62161979,"G4"
1988,14519.157758,14519.1577595016,"G1"
1988,336.653749459,336.653749459,"G1"
1988,804.797235709,703.8652706,"G3"
1988,4316.39926093,3412.4003638816,"G3"
1988,94.1625448057,94.1625448056,"G4"
1988,876.564397693,876.56439769303,"G3"
1988,1909.2109306,1845.8591331431,"G4"
1988,269.501096045,269.5010960452,"G3"
1988,39.3665366352,39.3665366351,"G6"
1988,2149.64447467,2149.6444746609,"G4"
1988,821.245356471,821.24535647,"G8"
1988,271.146081317,271.146081317,"G4"
1988,332.465722544,332.4657225441,"G4"
1988,6872.03043608,6862.3830050779,"G4"
1989,87.973887984,87.9738879845,"G8"
1989,4037.00572012,2460.83061056,"G7"
1989,78.3273005615,78.3273005615,"G8"
1989,297.494093907,297.4940939069,"G8"
1989,221.861800103,221.8618001021,"G1"
1989,141.785567699,141.785567699,"G4"
1989,153.643624961,153.643624961,"G4"
1989,73.7537379285,73.7537379286,"G3"
1989,64434.977724,26039.5483188205,"G1"
1989,160264.362201,105965.691811703,"G1"
1989,24837.8109458,24837.8109458144,"G1"
1989,13813.4017942,13484.4277542871,"G4"
1989,260936.540394,77644.332119467,"G1"
1989,617.840128058,617.8401280578,"G6"
1989,133245.434107,85276.8803225801,"G4"
1989,406446.076384,247300.904127104,"G1"
1989,45177.1394371,45028.461337931,"G1"
1989,15164.8797391,15164.879739122,"G5"
1989,114065.280094,114065.280103606,"G1"
1989,9578.77183587,9578.77184198761,"G1"
1989,38565.0556941,38565.0556941091,"G1"
1990,275.951752911,275.9517529107,"G4"
1990,385.931628993,373.777324491258,"G4"
1990,411.596921777,411.596921777,"G8"
1990,1012.57411013,1012.5741101243,"G1"
1990,3435.91476956,3435.914769558,"G3"
1990,266.180300499,266.1803004988,"G3"
1990,795.814279684,795.8142796847,"G3"
1990,1343.12803977,1343.12803977,"G4"
1990,370.267712293,370.2677122936,"G4"
1990,279.337257894,279.337257894,"G4"
1990,239.493671522,239.493671521856,"G5"
1990,4037.80274796,4037.80274796,"G8"
1990,1437.71488235,1437.71488234782,"G5"
1990,30.7125963917,30.7125963916,"G6"
1990,135.544691454,135.5446914543,"G6"
1990,10510.2887885,10510.28878846,"G4"
1990,6369.0428929,4271.64037553,"G7"
1990,324.839258255,324.839258255,"G7"
1990,545.541140013,545.541140014,"G7"
1990,11036.3022447,10722.5424508495,"G1"
1990,24405.9007071,18948.4440262,"G6"
1990,2819.47356342,1841.9519621752,"G4"
1990,1640.49892453,1640.49892453,"G7"
1990,186.130372323,186.130372323,"G7"
1990,267.134300157,267.134300158,"G7"
1990,5924.09803154,5923.2089101621,"G7"
1991,278.869521901,278.869521900561,"G1"
1991,644.717401264,644.717401263448,"G1"
1991,1912.51038485,1912.510384846,"G3"
1991,396.986712096,396.986712096338,"G4"
1991,461.843119921,268.7022638051,"G1"
1991,544.762940853,467.93133413643,"G1"
1991,329.980766119,329.98076611929,"G1"
1991,644.133647006,644.133647004,"G7"
1991,3176.0009807,3176.000980699,"G7"
1991,312.08849009,312.08849009,"G8"
1991,212.058508191,135.586283741,"G8"
1991,322.915895567,322.915895567,"G6"
1991,232.558118421,232.558118421,"G5"
1991,4466.27384572,4466.27384572,"G6"
1991,302.927511292,302.927511292,"G5"
1991,33426.8265613,33426.826561275,"G5"
1991,2761.22949133,2111.046285467,"G4"
1991,183.568970448,183.5689704485,"G7"
1991,449.224367495,449.2243674951,"G4"
1991,225825.523954,19989.680764099,"G6"
1991,25861.1275948,23942.275229555,"G6"
1991,11476.2909155,11476.290915511,"G5"
1991,48771.8196385,36632.962434556,"G5"
1991,104.026515623,104.026515623,"G5"
1991,609.90289808,609.90289808,"G6"
1991,87920.3295631,32693.4525486498,"G6"
1992,320.225822398,320.225822398,"G4"
1992,6583.25776699,6484.249072193,"G3"
1992,78.1386571912,78.1386571913,"G3"
1992,36.9522964314,36.9522964314,"G6"
1992,2657.27332404,2604.02948379,"G7"
1992,1872.9799377,1872.9799377,"G8"
1993,616.8387753,551.9888882378,"G4"
1993,30355.8137643,28517.76258696,"G5"
1993,72184.4474291,62001.7515668681,"G3"
1972,1493.77772289,1493.777722887,"G3"
1972,2817.73910382,2817.73910382018,"G4"
1972,4345.55713055,4345.5571305457,"G7"
1972,521.430754333,521.430754333,"G4"
1972,648.30743585,648.30743585,"G3"
1972,61705.2969717,61705.2969716248,"G1"
1994,31868.5835911,26579.3045393343,"G1"
1994,206.251306195,206.251306195,"G6"
1994,39.6821008267,39.6821008268,"G6"
1994,80.3178837894,80.3178837894,"G8"
1994,133.994050244,133.994050244605,"G4"
1994,2987.61439514,2987.61439514,"G7"
1994,260.074866999,260.0748669987,"G3"
1994,571.295334083,571.295334083,"G3"
1994,5369.57306328,3568.4685794345,"G4"
1994,465.542306367,465.5423063662,"G8"
1994,770.313013491,770.313013491,"G4"
1994,278.052452618,278.0524526189,"G6"
1994,84.915595759,84.9155957594,"G3"
