"ID_PE","suivi","DOM_BIO","TYPE_COUV","GR_ESS","CL_AGE","DEP_SUR","CL_DRAI","den","ST","denPIG","STPIG","denEPN","STEPN","DQM","denRel2sp","codSol","codSOl","esse"
103306202,"PET3","6","R","EE","070","1A",30,575,8.121,0,0,1,1,134.099108986401,1,"Tills","Tills","EPN"
103306203,"PET3","6","R","EE","090","1AY",30,1175,16.572,0,0,0.978723404255319,0.982923002655081,134.005797700398,0.978723404255319,"Tills","Tills","EPN"
103306204,"PET3","6","R","EE","120","1A",31,1050,19.887,0,0,0.976190476190476,0.985769598229999,155.290556626229,0.976190476190476,"Tills","Tills","EPN"
103306301,"PET3","6","R","EE","120","1AY",30,1200,16.776,0,0,1,1,133.416224033652,1,"Tills","Tills","EPN"
103306302,"PET3","6","R","EE","070","1AY",30,1150,14.883,0,0,1,1,128.36640541246,1,"Tills","Tills","EPN"
103306303,"PET3","6","R","EE","070","1AY",30,1175,28.432,0,0,0.765957446808511,0.872924873382105,175.525343350245,0.765957446808511,"Tills","Tills","EPN"
103306304,"PET3","6","R","EE","070","1AY",30,1625,42.678,0,0,0.784615384615385,0.798327006888795,182.864922472564,0.784615384615385,"Tills","Tills","EPN"
103306402,"PET3","6","R","EE","070","1AY",30,1475,22.964,0,0,0.966101694915254,0.979141264588051,140.793569058881,0.966101694915254,"Tills","Tills","EPN"
103306403,"PET3","6","R","EE","070","1A",30,850,11.742,0,0,1,1,132.622324153436,1,"Tills","Tills","EPN"
103306404,"PET3","6","R","EE","070","1A",30,900,14.962,0,0,0.833333333333333,0.820946397540436,145.488487777966,0.833333333333333,"Tills","Tills","EPN"
103306501,"PET3","6","R","EE","070","1A",30,1600,24.583,0,0,1,1,139.866113945231,1,"Tills","Tills","EPN"
103306502,"PET3","6","R","EE","070","1A",30,2050,38.798,0,0,1,1,155.23255230756,1,"Tills","Tills","EPN"
103306503,"PET3","6","R","EE","120","1A",30,525,13.273,0,0,1,1,179.41549796237,1,"Tills","Tills","EPN"
103306504,"PET3","6","R","EE","120","1A",30,725,13.358,0.103448275862069,0.254603982632131,0.896551724137931,0.745396017367869,153.164026741549,1,"Tills","Tills","EPN"
103306703,"PET3","6","R","EE","090","1A",30,1475,25.541,0,0,0.627118644067797,0.667906503269253,148.483432191302,0.627118644067797,"Tills","Tills","EPN"
103306704,"PET3","6","R","EE","090","1A",30,1975,25.589,0,0,0.734177215189873,0.790339599046465,128.439369945567,0.734177215189873,"Tills","Tills","EPN"
103306801,"PET3","6","R","EE","070","1AY",20,1850,42.356,0,0,0.702702702702703,0.706487864765322,170.736614222344,0.702702702702703,"Tills","Tills","EPN"
103306802,"PET3","6","R","EE","070","1AY",20,1850,31.903,0,0,0.72972972972973,0.783374604269191,148.178419108722,0.72972972972973,"Tills","Tills","EPN"
103306803,"PET3","6","R","EE","120","1A",40,325,3.951,0,0,0.923076923076923,0.928372563907871,124.413324060737,0.923076923076923,"Tills","Tills","EPN"
103306804,"PET3","6","R","EE","120","1A",40,525,8.522,0,0,1,1,143.762684079622,1,"Tills","Tills","EPN"
103306901,"PET3","6","R","EE","090","1A",31,925,11.961,0,0,1,1,128.312196107047,1,"Tills","Tills","EPN"
103306902,"PET3","6","R","EE","090","1AY",30,1175,15.463,0.234042553191489,0.298066351936882,0.765957446808511,0.701933648063118,129.444321654968,1,"Tills","Tills","EPN"
103306903,"PET3","6","R","EE","090","1AY",30,700,7.727,0.142857142857143,0.237737802510677,0.857142857142857,0.762262197489323,118.552712580695,1,"Tills","Tills","EPN"
103306904,"PET3","6","R","ES","070","1AY",20,1700,36.569,0,0,0.779411764705882,0.842981760507534,165.495862595201,0.779411764705882,"Tills","Tills","EPN"
103307001,"PET3","6","R","PGE","070","1A",30,950,12.989,0.210526315789474,0.247825082762337,0.789473684210526,0.752174917237663,131.941408234529,1,"Tills","Tills","EPN"
103307002,"PET3","6","R","EE","070","1AY",20,1350,35.585,0,0,0.907407407407407,0.919235632991429,183.198393166576,0.907407407407407,"Tills","Tills","EPN"
103307003,"PET3","6","R","EE","070","1AY",20,1625,27.512,0,0,0.923076923076923,0.957473102646118,146.821432840669,0.923076923076923,"Tills","Tills","EPN"
103307103,"PET3","6","R","EE","070","1A",31,1225,16.573,0,0,0.959183673469388,0.97628673143064,131.246454490175,0.959183673469388,"Tills","Tills","EPN"
